"FROM_NODE","TO_NODE","EDGE_LENGTHKM","FROM_NODETYPE","TO_NODETYPE","FROM_COMID","TO_COMID","TO_LEVELPATHI","FROM_NODE_NAME","TO_NODE_NAME","FROM_LEVELPATHI"
"Point.17","Point.09134100",3.29505039866804,"dam","gage",1337392,1337472,760008652,"CO00598 MONUMENT","09134100 NORTH FORK GUNNISON RIVER BELOW PAONIA, CO",760042924
"Point.18","Point.20",0.543193025627701,"dam","dam",3230427,3230645,760051620,"CO00474 CARBONATE CAMP #6","CO00475 CARBONATE CAMP #7",760051620
"Point.19","Point.09058000",0.330497566721047,"dam","gage",1232923,1232797,720000024,"CO00928 JONES #2","09058000 COLORADO RIVER NEAR KREMMLING, CO",760043416
"Point.20","Point.09152000",0.0789742336537968,"dam","gage",3230645,3232393,760010067,"CO00475 CARBONATE CAMP #7","09152000 KANNAH CREEK NEAR WHITEWATER, CO.",760051620
"Point.21","Point.19",0.352483660783105,"dam","dam",1232029,1232923,760043416,"CO01703 JONES #1","CO00928 JONES #2",760043416
"Point.22","Point.09152000",18.912337132974,"dam","gage",3229813,3232393,760010067,"CO00826 GRAND MESA #1","09152000 KANNAH CREEK NEAR WHITEWATER, CO.",760031723
"Point.23","Point.70",0.406932991284969,"dam","dam",1336790,1336620,760036573,"CO00569 DOUGHTY","CO00627 SKIM MILK",760036573
"Point.24","Point.09314280",22.5745073917577,"dam","gage",3910281,3910095,760011906,"UT00570 DESERT LAKE - OLD DESERT LAKE","09314280 DESERT SEEP WASH NEAR WELLINGTON, UTAH",760011906
"Point.25","Point.418",21.5192684651464,"dam","dam",3268740,3267356,760008506,"UT00220 MOSLANDER","WY01260 BYRNE",760050965
"Point.26","Point.473",0.52695648875483,"dam","dam",3230405,3230579,760023509,"CO00655 YOUNGS CREEK #3","CO00595 MCKOON",760023509
"Point.27","Point.09144500",0.289804524111361,"dam","gage",9770414,9770414,760028292,"CO00306 FULL MOON AKA CRYSTAL_*","09144500 RED MOUNTAIN CREEK NEAR IRONTON, CO.",760028292
"Point.29","Point.09425000",25.5008443137712,"dam","gage",21390888,21389684,720006511,"AZ00319 ONEAL LAKE","09425000 DATE CREEK NEAR CONGRESS ARIZ",720035763
"Point.30","Point.09383420",24.9549712741768,"dam","gage",20585268,20584972,720001918,"AZ00007 RIVER RESERVOIR #3","09383420 BECKER LAKE DITCH AT SPRINGERVILLE, AZ",720001918
"Point.32","Point.09404040",9.67458362611043,"dam","gage",20696076,20695914,720004280,"AZ00031 SANTA FE","09404040 CATARACT CREEK NEAR WILLIAMS",720004280
"Point.33","Point.09467100",1.79652155690528,"dam","gage",21328261,21318917,720000771,"AZ00053 ROGERS RESERVOIR","09467100 GILA RIVER NEAR CALVA, ARIZ.",720050957
"Point.34","Point.09383250",0.0995539243275303,"dam","gage",20586772,20586772,720037593,"AZ00033 LEE VALLEY","09383250 LEE VALLEY CR BL LEE VALLEY RES NR GREER, AZ.",720037593
"Point.35","Point.26",0.411458931084413,"dam","dam",3230611,3230405,760023509,"CO02846 UPPER EGGLESTON","CO00655 YOUNGS CREEK #3",760023509
"Point.36","Point.09302420",12.8187694869647,"dam","gage",1343254,1342778,760002152,"CO82421 LAKE OF THE WOODS","09302420 NF WHITE R ABOVE RIPPLE C, NR TRAPPERS LAKE, CO.",760036521
"Point.37","Point.09073400",35.3821350548236,"dam","gage",1327563,1327153,760008871,"CO02794 WARREN LAKE #3","09073400 ROARING FORK RIVER NEAR ASPEN, CO.",760054482
"Point.37","Point.09073500",37.5406828257023,"dam","gage",1327563,1327137,760008871,"CO02794 WARREN LAKE #3","09073500 ROARING FORK RIVER AT ASPEN, CO.",760054482
"Point.38","Point.144",2.55662057821982,"dam","dam",3180980,3180982,760031828,"CO00833 PARKER BASIN #1","CO00806 COTTONWOOD #5",760031828
"Point.39","Point.1008",0.365463449992996,"dam","dam",3179860,3179860,760020319,"CO00949 COON CREEK #1","CO01047 SOMERVILLE-MCCULLAH",760020319
"Point.40","Point.495",0.641873694586598,"dam","dam",3179742,3178650,760031852,"CO00911 BULL CREEK #3","CO00946 BIG BEAVER",760031852
"Point.41","Point.09306290",191.763186161058,"dam","gage",1341730,5307716,760002152,"CO02757 KEYSTONE-BEN PRICE","09306290 WHITE RIVER BELOW BOISE CREEK, NEAR RANGELY, CO.",760014994
"Point.42","Point.09304500",40.1888309437134,"dam","gage",1342548,1343194,760006754,"CO01935 MCHATTON","09304500 WHITE RIVER NEAR MEEKER, CO.",760029410
"Point.43","Point.09306025",3.03008059895898,"dam","gage",3240929,3241463,760024955,"CO02570 WEST STEWART","09306025 WEST FORK STEWART GULCH NEAR RIO BLANCO, CO.",760024955
"Point.44","Point.796",22.4806740697566,"dam","dam",17014059,17015277,760010259,"CO02084 DURANGO #1","CO01688 LEMON",760010259
"Point.45","Point.09100500",11.8311915873735,"dam","gage",3181336,3181222,760019480,"CO01755 COTTONWOOD #2","09100500 COTTONWOOD CREEK AT UPPER STA, NEAR MOLINA, CO.",760028986
"Point.46","Point.09085000",181.809446445033,"dam","gage",1325017,1324997,760008871,"CO01925 VON SPRINGS #1","09085000 ROARING FORK RIVER AT GLENWOOD SPRINGS, CO.",760022543
"Point.47","Point.09100500",8.03730306028894,"dam","gage",3181328,3181222,760019480,"CO01754 COTTONWOOD #1","09100500 COTTONWOOD CREEK AT UPPER STA, NEAR MOLINA, CO.",760031827
"Point.48","Point.337",1.53043006530843,"dam","dam",3181320,3181322,760019480,"CO01756 COTTONWOOD #4","CO00952 FRED DECAMP",760019480
"Point.49","Point.194",1.62787038442656,"dam","dam",1356448,1356434,760020423,"CO01916 HEART LAKE","CO01915 BULL PARK #2",760020423
"Point.50","Point.09104000",7.69179330186888,"dam","gage",3179754,3178708,760020319,"CO00893 COON CREEK #3","09104000 COON CREEK NEAR MESA, CO.",760020319
"Point.51","Point.09099500",4.09457856821587,"dam","gage",3181358,3180916,760019482,"CO01677 BONHAM-WELLS","09099500 BIG CREEK AT UPPER STATION, NEAR COLLBRAN, CO.",760019482
"Point.52","Point.09104500",4.94721956126736,"dam","gage",3179758,3178898,760018740,"CO00846 MESA CREEK #1","09104500 MESA CREEK NEAR MESA, CO.",760018740
"Point.53","Point.676",2.05441490905476,"dam","dam",3181034,3181350,760023561,"CO00807 LEON LAKE","CO00948 COLBY HORSE PARK",760023561
"Point.54","Point.51",3.42152760793662,"dam","dam",3181364,3181358,760019482,"CO00935 BIG CREEK #1","CO01677 BONHAM-WELLS",760019482
"Point.55","Point.09100500",7.2543567168534,"dam","gage",3181342,3181222,760019480,"CO00834 PARKER BASIN #3","09100500 COTTONWOOD CREEK AT UPPER STA, NEAR MOLINA, CO.",760035761
"Point.56","Point.09097900",41.7053606174379,"dam","gage",3181296,3180768,760009023,"CO00955 GROVE CREEK #1","09097900 PLATEAU CREEK BELOW COLLBRAN, CO",760022313
"Point.57","Point.425",0.663276761261513,"dam","dam",3230603,3230433,760017469,"CO00424 BONITA","CO00476 CEDAR MESA",760017469
"Point.58","Point.51",1.00579024251017,"dam","dam",3181004,3181358,760019482,"CO00939 BIG CREEK #4","CO01677 BONHAM-WELLS",760051996
"Point.59","Point.53",1.365,"dam","dam",3181032,3181034,760023561,"CO00820 LEON PARK","CO00807 LEON LAKE",760023561
"Point.60","Point.50",0.769188866329849,"dam","dam",3179748,3179754,760020319,"CO00950 COON CREEK #2","CO00893 COON CREEK #3",760020319
"Point.61","Point.09132995",17.8188016466987,"dam","gage",1336624,1337308,760022522,"CO00573 HOLY TERROR","09132995 TERROR CREEK AT MOUTH NEAR BOWIE, CO",760022522
"Point.62","Point.1304",0.221543384948914,"dam","dam",1338044,1338044,760054325,"CO00921 PATTERSON #1","CO00629 CARL SMITH",760054325
"Point.63","Point.09098500",2.13628566165999,"dam","gage",3181298,3181232,760051981,"CO00937 BIG CREEK #3","09098500 ATKINSON CREEK NEAR COLLBRAN, CO.",760051981
"Point.64","Point.09104000",7.58671111360122,"dam","gage",3178906,3178708,760020319,"CO00843 MESA CREEK #4","09104000 COON CREEK NEAR MESA, CO.",760077452
"Point.65","Point.151",4.51323036340077,"dam","dam",1336586,1336622,760016555,"CO00567 DOG FISH LAKE","CO00593 LUCKY FIND",760016555
"Point.66","Point.09386950",1.29359766137433,"dam","gage",25207019,20573275,720008345,"NM00134 RAMAH DAM","09386950 ZUNI RIVER ABV BLACK ROCK RESERVOIR, NM",720040134
"Point.67","Point.09395900",71.9356337349987,"dam","gage",20563709,20565435,720005905,"NM00151 RED LAKE","09395900 BLACK CREEK NR LUPTON, AZ",720018678
"Point.69","Point.814",10.0402179329062,"dam","dam",3230419,3230465,760017469,"CO00658 TRICKLE","CO00554 COLE #5",760028914
"Point.70","Point.134",0.769154119906474,"dam","dam",1336620,1336620,760036573,"CO00627 SKIM MILK","CO00610 ELK WALLOWS",760036573
"Point.71","Point.09086000",2.65706576190965,"dam","gage",3175084,3175140,760022340,"CO00696 PARK","09086000 WEST ELK CREEK NEAR NEW CASTLE, CO",760022340
"Point.72","Point.570",1.2923843684659,"dam","dam",3230421,3230409,760035628,"CO00624 RYAN","CO00653 YOUNGS CREEK #1 & 2",760035628
"Point.73","Point.227",14.6736044995696,"dam","dam",1336796,1337120,760025313,"CO00605 OWENS","CO00441 BROCKMAN #2",760054343
"Point.74","Point.09385700",0.665022573293103,"dam","gage",21762200,21761944,720001918,"AZ00009 COLTER","09385700 LITTLE COLORADO RIVER BELOW SALADO SPRINGS, AZ",720048622
"Point.75","Point.09386300",1.73072546881343,"dam","gage",25205487,21760862,720001918,"AZ00187 UDALL","09386300 LITTLE COLORADO RVR BLW ZION RES. NR ST JOHNS, AZ",720001918
"Point.76","Point.464",15.7564724025164,"dam","dam",20465294,20466206,720014864,"AZ00094 STEEL DAM","AZ00214 JUMBO",720017186
"Point.77","Point.09504421",36.0842768105339,"dam","gage",20453282,20453306,720007687,"AZ10101 FOXBORO LAKE DAM","09504421 OAK CREEK AT TOWN OF SEDONA",720038295
"Point.78","Point.32",1.12967334921866,"dam","dam",20696090,20696076,720004280,"AZ00010 CITY","AZ00031 SANTA FE",720004280
"Point.79","Point.09429600",0.836539106125542,"dam","gage",21411785,21412675,720000024,"AZ10315 LAGUNA DIVERSION","09429600 COLORADO RIVER BELOW LAGUNA DAM, AZ-CA",720066931
"Point.80","Point.09383420",1.99663980677913,"dam","gage",20585376,20584972,720001918,"AZ00036 MEXICAN HAY LAKE","09383420 BECKER LAKE DITCH AT SPRINGERVILLE, AZ",720082512
"Point.81","Point.09383420",2.12657848737181,"dam","gage",20586664,20584972,720001918,"AZ00101 HOG WALLOW","09383420 BECKER LAKE DITCH AT SPRINGERVILLE, AZ",720082470
"Point.82","Point.09390500",4.98502130767173,"dam","gage",21756164,21756096,720008350,"AZ00024 LAKESIDE","09390500 SHOW LOW CREEK NEAR LAKESIDE, AZ",720019167
"Point.83","Point.179",10.2916608375052,"dam","dam",20464966,20465134,720001890,"AZ00266 SELIGMAN","AZ00145 CANYON MOUTH",720030090
"Point.84","Point.09511500",0.150934246427831,"dam","gage",20478278,20478280,720001660,"AZ10316 GRANITE REEF DIVERSION","09511500 SALT RIVER BELOW GRANITE REEF DAM",720001660
"Point.85","Point.09383420",56.2706559940905,"dam","gage",20586702,20584972,720001918,"AZ00102 POOL CORRAL","09383420 BECKER LAKE DITCH AT SPRINGERVILLE, AZ",720023330
"Point.86","Point.11",25.4926534973495,"dam","dam",20525525,20524941,720012846,"AZ00015 LOWER LAKE MARY","AZ00218 WALNUT CANYON",720012846
"Point.88","Point.09383500",20.0627166741712,"dam","gage",20586764,20585806,720010119,"AZ00048 ROGERS","09383500 NUTRIOSO CREEK ABV NELSON RES NR SPRINGERVILLE, AZ",720029721
"Point.89","Point.76",17.7466699552864,"dam","dam",20466078,20465294,720017186,"AZ00137 MCLELLAN","AZ00094 STEEL DAM",720017186
"Point.90","Point.98",0.0489689510444256,"dam","dam",16965437,944080041,760026087,"CO02883 BAUER LAKE #2 - WEST DAM","CO01077 BAUER LAKE #2 - MAIN DAM",760026087
"Point.91","Point.1026",2.5697720545308,"dam","dam",17030924,17030926,760024284,"CO01723 LINN AND CLARK","CO01058 TOWN CENTER",760024284
"Point.92","Point.09247500",162.676017865832,"dam","gage",1356784,1354870,760002305,"CO01716 DRESCHER","09247500 YAMPA RIVER AT CRAIG, CO.",760025271
"Point.93","Point.09060770",30.4294923823929,"dam","gage",1233067,1237327,760012582,"CO82413 BULKLEY DAM","09060770 ROCK CREEK AT MCCOY, CO.",760036897
"Point.94","Point.09153270",43.9347510082051,"dam","gage",3176926,3179304,760012538,"CO02914 ECHO LAKE","09153270 BIG SALT WASH AT FRUITA, CO.",760012538
"Point.95","Point.132",0.160414407471708,"dam","dam",16963967,16963021,760039120,"CO02884 WEBER - NORTH DAM","CO01082 WEBER - SOUTH DAM",760039120
"Point.96","Point.09070500",234.041435706872,"dam","gage",1237267,1236065,720000024,"CO00942 WOHLER","09070500 COLORADO RIVER NEAR DOTSERO, CO",760036817
"Point.97","Point.40",0.477094128429278,"dam","dam",3179858,3179742,760031852,"CO00897 BULL CREEK #4","CO00911 BULL CREEK #3",760031852
"Point.98","Point.09370600",36.2696826227729,"dam","gage",944080041,16963867,760001603,"CO01077 BAUER LAKE #2 - MAIN DAM","09370600 MANCOS RIVER AT ANITAS FLAT BELOW MANCOS, CO",760026087
"Point.99","Point.09171200",14.6621670505159,"dam","gage",18377572,18377488,760007406,"CO00865 BLUE LAKE #1","09171200 SAN MIGUEL RIVER NEAR TELLURIDE, CO.",760043806
"Point.100","Point.09060770",44.2798084337847,"dam","gage",1236651,1237327,760012582,"CO01707 NEWTON GULCH","09060770 ROCK CREEK AT MCCOY, CO.",760027307
"Point.101","Point.90",4.34424178188998,"dam","dam",16963029,16965437,760026087,"CO01076 BAUER LAKE #1","CO02883 BAUER LAKE #2 - WEST DAM",760026087
"Point.102","Point.09357500",15.4103572800006,"dam","gage",17013811,17014163,760004162,"CO01064 HIGHLAND MARY","09357500 ANIMAS RIVER AT HOWARDSVILLE, CO.",760022960
"Point.103","Point.09058000",123.788909179914,"dam","gage",1231579,1232797,720000024,"CO02177 MUSGRAVE","09058000 COLORADO RIVER NEAR KREMMLING, CO",760018908
"Point.104","Point.09081000",51.6761492340688,"dam","gage",1327395,1325991,760008871,"CO02552 CHRISTENSON","09081000 ROARING FORK RIVER NEAR EMMA, CO",760017596
"Point.105","Point.09085000",185.311717301123,"dam","gage",1324917,1324997,760008871,"CO01922 RALSTON #1","09085000 ROARING FORK RIVER AT GLENWOOD SPRINGS, CO.",760032459
"Point.106","Point.09258000",7.67226378262236,"dam","gage",18279107,18279735,760017742,"CO01912 ELK LAKE","09258000 WILLOW CREEK NEAR DIXON, WY",760045459
"Point.107","Point.09058000",122.218146706675,"dam","gage",1311645,1232797,720000024,"CO02282 MOORE","09058000 COLORADO RIVER NEAR KREMMLING, CO",760006301
"Point.108","Point.09244490",0.12825943986857,"dam","gage",1353048,1352678,760002305,"CO02081 MORGAN CREEK #1","09244490 YAMPA RIVER ABOVE ELKHEAD CREEK NEAR HAYDEN, CO",760042751
"Point.109","Point.09304800",1.66838073112611,"dam","gage",1344868,1341442,760002152,"CO01937 WEST MILLER","09304800 WHITE RIVER BELOW MEEKER, CO",760042804
"Point.110","Point.09079000",0.344172346113855,"dam","gage",1327483,1326811,760018873,"CO01918 ALICIA LAKE","09079000 LIME CREEK AT TROUTVILLE, CO.",760018873
"Point.111","Point.09249500",81.4783008655981,"dam","gage",1355958,1355470,760007984,"CO02101 SADDLE","09249500 WILLIAMS FORK AT HAMILTON, CO.",760053831
"Point.112","Point.09244300",3.2917713749189,"dam","gage",1355332,1355194,760023938,"CO01887 NOFSTGER","09244300 GRASSY CREEK NEAR MOUNT HARRIS, CO.",760042689
"Point.113","Point.207",2.10935646808318,"dam","dam",1238601,1238683,760021478,"CO02121 COLE","CO02124 LANGHOLEN",760029563
"Point.114","Point.09063200",3.15232577534056,"dam","gage",1320012,1320292,760036673,"CO01940 CASE #1 DAM","09063200 WEARYMAN CREEK NEAR RED CLIFF, CO.",760083942
"Point.115","Point.110",1.13518105937898,"dam","dam",1327475,1327483,760018873,"CO01927 WOODS LAKE","CO01918 ALICIA LAKE",760018873
"Point.116","Point.09306410",29.7706146515817,"dam","gage",5312900,5311838,760009004,"CO01949 BAXTER","09306410 EVACUATION CREEK AB MISSOURI C NR DRAGON, UT",760020979
"Point.117","Point.09134200",12.4707203366284,"dam","gage",1337744,1337668,760022518,"CO01802 TODD","09134200 COTTONWOOD CREEK NEAR HOTCHKISS, CO.",760054288
"Point.118","Point.09152500",3.81449429240454,"dam","gage",3231447,3232569,760003236,"CO02073 CHENEY","09152500 GUNNISON RIVER NEAR GRAND JUNCTION, CO.",760041422
"Point.119","Point.09152000",11.596010236272,"dam","gage",3231147,3232393,760010067,"CO01739 CHAMBERS","09152000 KANNAH CREEK NEAR WHITEWATER, CO.",760076289
"Point.120","Point.09250000",28.2532118600339,"dam","gage",3113519,3113099,760011759,"CO02202 WYMAN","09250000 MILK CREEK NEAR THORNBURGH, CO.",760041861
"Point.121","Point.09304300",4.29691728672984,"dam","gage",1342352,1342424,760006754,"CO01933 LUNNEY","09304300 COAL CREEK NEAR MEEKER, CO.",760042871
"Point.122","Point.09058000",2.21958352347102,"dam","gage",1236755,1232797,720000024,"CO02126 SYLVAN","09058000 COLORADO RIVER NEAR KREMMLING, CO",760085016
"Point.123","Point.606",0.876500623297975,"dam","dam",18377706,18377702,760015032,"CO00184 TROUT LAKE","CO02616 PRIEST",760015032
"Point.124","Point.154",2.42409515851578,"dam","dam",3229735,3230035,760024992,"CO00827 GRAND MESA #8","CO00828 GRAND MESA #9",760024992
"Point.125","Point.09237450",29.4967902542724,"dam","gage",1358088,1357658,760002305,"CO00891 CROWNER","09237450 YAMPA RIVER ABOVE STAGECOACH RESERVOIR, CO",760042591
"Point.127","Point.09152000",17.9998160974997,"dam","gage",3230043,3232393,760010067,"CO00824 DEEP CREEK #2","09152000 KANNAH CREEK NEAR WHITEWATER, CO.",760051636
"Point.128","Point.151",8.127245331233,"dam","dam",1336546,1336622,760016555,"CO00659 FAIRMONT PARK","CO00593 LUCKY FIND",760036578
"Point.129","Point.247",0.336104969466328,"dam","dam",1336800,1336800,760016555,"CO00613 PINE CONE","CO00667 GOODENOUGH #2",760016555
"Point.130","Point.09060700",15.1466860901302,"dam","gage",1232941,1232783,760013532,"CO01699 CLYDE","09060700 EGERIA CREEK NEAR TOPONAS, CO.",760043439
"Point.131","Point.09060770",7.43165353799189,"dam","gage",1236645,1237327,760012582,"CO00922 GRIMES BROOKS","09060770 ROCK CREEK AT MCCOY, CO.",760043338
"Point.132","Point.09368500",4.28519863372608,"dam","gage",16963021,16963817,760001603,"CO01082 WEBER - SOUTH DAM","09368500 WEST MANCOS RIVER NEAR MANCOS, CO.",760039120
"Point.133","Point.09070000",1.04497671598931,"dam","gage",1318934,1320238,760007348,"CO00881 NOECKER","09070000 EAGLE RIVER BELOW GYPSUM, CO.",760054713
"Point.134","Point.09134500",18.8163044942595,"dam","gage",1336620,1337924,760016555,"CO00610 ELK WALLOWS","09134500 LEROUX CREEK NEAR CEDAREDGE, CO.",760036573
"Point.135","Point.09060700",9.20983583933792,"dam","gage",1232207,1232783,760013532,"CO01700 EGERIA","09060700 EGERIA CREEK NEAR TOPONAS, CO.",760043449
"Point.136","Point.09363200",99.6073644072721,"dam","gage",17015279,17015259,760010259,"CO00894 PASTORIUS - MAIN DAM","09363200 FLORIDA RIVER AT BONDAD, CO.",760030402
"Point.137","Point.881",2.22910339002561,"dam","dam",18385463,18385459,760032715,"CO01091 SUMMIT - MAIN DAM","CO01088 LOST CANYON",760032715
"Point.138","Point.09371500",49.4958593930113,"dam","gage",3262333,3262741,760008943,"CO01089 NARRAGUINNEP - MAIN DAM","09371500 MCELMO CREEK NEAR CORTEZ, CO.",760018042
"Point.139","Point.09144250",234.642421615954,"dam","gage",3233287,3232789,760003236,"CO00602 OASIS","09144250 GUNNISON RIVER AT DELTA, CO",760031686
"Point.140","Point.09126500",51.3774346021843,"dam","gage",3254249,3253959,760016926,"CO01458 FISH CREEK #1","09126500 CIMARRON RIVER AT CIMARRON, CO.",760041225
"Point.141","Point.09070500",217.591541628639,"dam","gage",1238593,1236065,720000024,"CO00944 YARMONY","09070500 COLORADO RIVER NEAR DOTSERO, CO",760020512
"Point.142","Point.09244100",7.06165158727959,"dam","gage",1355804,1356678,760017012,"CO00889 JAMES MARION YOAST","09244100 FISH CREEK NEAR MILNER, CO.",760082090
"Point.143","Point.09244300",3.57291004274833,"dam","gage",1355446,1355194,760023938,"CO00887 NOFSTGER-ZEIGLER","09244300 GRASSY CREEK NEAR MOUNT HARRIS, CO.",760082164
"Point.144","Point.09100500",8.2926181104307,"dam","gage",3180982,3181222,760019480,"CO00806 COTTONWOOD #5","09100500 COTTONWOOD CREEK AT UPPER STA, NEAR MOLINA, CO.",760031828
"Point.145","Point.123",6.6450870612561,"dam","dam",18377654,18377706,760015032,"CO00866 LAKE HOPE","CO00184 TROUT LAKE",760015032
"Point.146","Point.09126500",51.2167263506173,"dam","gage",3254233,3253959,760016926,"CO01638 FISH CREEK #2","09126500 CIMARRON RIVER AT CIMARRON, CO.",760035496
"Point.147","Point.09060700",19.7943757447445,"dam","gage",1356530,1232783,760013532,"CO00892 GARDNER PARK","09060700 EGERIA CREEK NEAR TOPONAS, CO.",760029609
"Point.148","Point.09101500",3.97493671598103,"dam","gage",3179744,3178454,760017494,"CO00947 BULL CREEK #5","09101500 BULL CREEK AT UPPER STATION, NEAR MOLINA, CO.",760017494
"Point.149","Point.62",0.204450631931731,"dam","dam",1338044,1338044,760054325,"CO00608 PATTERSON #2","CO00921 PATTERSON #1",760054325
"Point.149","Point.1304",0.425994016880645,"dam","dam",1338044,1338044,760054325,"CO00608 PATTERSON #2","CO00629 CARL SMITH",760054325
"Point.150","Point.09060770",41.1071311215138,"dam","gage",1231863,1237327,760012582,"CO01706 MORRIS","09060770 ROCK CREEK AT MCCOY, CO.",760023910
"Point.151","Point.09134500",12.5991504545864,"dam","gage",1336622,1337924,760016555,"CO00593 LUCKY FIND","09134500 LEROUX CREEK NEAR CEDAREDGE, CO.",760016555
"Point.152","Point.09170500",10.2476962147339,"dam","gage",18382117,18382297,760018938,"CO00206 BUCKEYE #1","09170500 WEST PARADOX CREEK NEAR PARADOX, CO.",760032779
"Point.153","Point.09171200",16.4040534032866,"dam","gage",18377588,18377488,760007406,"CO00929 LEWIS","09171200 SAN MIGUEL RIVER NEAR TELLURIDE, CO.",760007406
"Point.154","Point.456",6.31516511833291,"dam","dam",3230035,3230925,760010067,"CO00828 GRAND MESA #9","CO00088 HOGCHUTE",760024992
"Point.155","Point.09058000",128.143096477341,"dam","gage",1232445,1232797,720000024,"CO00715 PHENEY","09058000 COLORADO RIVER NEAR KREMMLING, CO",760019662
"Point.156","Point.09346400",100.394255469643,"dam","gage",17039453,17034995,760000974,"NM00186 DULCE LAKE","09346400 SAN JUAN RIVER NEAR CARRACAS, CO.",760019093
"Point.157","Point.09387300",44.5589618931046,"dam","gage",20573371,20573757,720004235,"NM00145 BLACK ROCK","09387300 ZUNI RIVER NR NM-AZ STATE LINE, NM",720008345
"Point.158","Point.09235800",16.4365375835093,"dam","gage",10040070,10040146,760009708,"UT00055 CROUSE","09235800 POT CREEK NEAR VERNAL, UTAH",760009708
"Point.159","Point.626",15.7219541801886,"dam","dam",4900173,4901471,760004298,"UT00153 JOHNSON","UT00208 MILL MEADOW",760004298
"Point.160","Point.1087",48.5625278493303,"dam","dam",4876067,4876393,760006708,"UT00071 CLEVELAND","UT00545 UTAH POWER & LIGHT - HUNTINGTON SET.",760022091
"Point.161","Point.09404450",7.27989687692652,"dam","gage",10026522,10025746,720008578,"UT00444 MACDONALD LAKE","09404450 EAST FORK VIRGIN RIVER NEAR GLENDALE, UT",720030705
"Point.162","Point.09222400",122.77745498798,"dam","gage",3267798,3265786,760008506,"WY01259 PIEDMONT","09222400 MUDDY CREEK NEAR HAMPTON, WY",760041083
"Point.163","Point.09222000",29.1402582038191,"dam","gage",3195658,3195478,760003478,"WY01248 PATERSON LAKE","09222000 BLACKS FORK NEAR LYMAN, WY",760003478
"Point.164","Point.09215550",168.864048487323,"dam","gage",18301776,18303090,760005169,"WY01388 EDEN DIKE 1","09215550 BIG SANDY RIVER BELOW FARSON, WY",760045085
"Point.166","Point.618",0.654124571877861,"dam","dam",3231227,3231227,760023508,"CO00617 PORTER NO. 4","CO00616 PORTER #1",760023508
"Point.167","Point.09080800",4.52238596609728,"dam","gage",1326127,1326059,760054550,"CO00683 LAKE ANN","09080800 WEST SOPRIS CREEK NEAR BASALT, CO.",760054550
"Point.168","Point.09041200",2.98157808291438,"dam","gage",1231319,1231341,760018917,"CO00703 MCMAHON #2","09041200 RED DIRT CREEK NEAR KREMMLING, CO.",760018917
